Data, Value
papel, 96
third, 81
heist, 72
gt, 68
lacasadepapel, 63
money, 57
confirmed, 57
new, 54
part, 45
confirms, 34
atresmedia, 31
news, 30
yes, 30
deal, 30
close, 29
aimed, 29
released, 29
good, 28
oh, 27
show, 26
ever, 26
ali_najjar, 26
i, 25
laurennshows, 25
lacasadepapel3, 25
lacasadepap, 25
watch, 23
god, 23
original, 21
n't, 21
berlin, 20
foreign, 20
most-watched, 19
spanish, 17
wait, 17
na, 17
variety, 17
poppoiis, 17
don, 16
official, 16
gon, 16
best, 15
much, 15
yeah, 15
renewed, 15
bad, 15
fucking, 14
happy, 14
watched, 13
papel/money, 13
ca, 13
returning, 13
it, 13
nothing, 13
producing, 12
updated, 12
cast, 12
omg, 12
mas, 12
everything, 12
working, 12
fanmeet, 12
little, 12
walking, 12
dead, 12
tvtime, 11
break, 11
watching, 11
*new, 11
season*, 11
whmullally, 11
day, 11
sucks, 11
im, 11
possible, 11
teams, 11
ultimeventz, 11
cauemoura, 11
duas, 11
papel\, 10
one, 10
know, 10
love, 10
hein, 10
ne, 10
ruin, 10
diffe, 10
felipesocoloski, 10
spanish-language, 10
phenomenon, 10
prison, 9
got, 9
already, 9
come, 9
excited, 9
stop, 8
fuck, 8
life, 8
omfg, 8
seriesbrasil, 8
renova, 8
deadline, 8
professor, 7
actually, 7
get, 7
coming, 7
finished, 7
people, 7
really, 7
amp, 7
please, 7
pardooooonnnnn, 7
hotterthanswift, 7
cancela, 7
reasons, 7
going, 7
getting, 7
there, 7
right, 6
y, 6
feel, 6
made, 6
blvckfull, 6
le, 6
back, 6
s3, 6
ready, 6
greatest, 6
still, 6
big, 6
super, 5
tvshowtime, 5
need, 5
del, 5
first, 5
added, 5
library, 5
true, 5
pardon, 5
shit, 5
ok, 5
go, 5
idea, 5
time, 5
way, 5
said, 5
make, 5
ohh, 5
youtubers, 5
real, 5
serie, 5
house, 5
breaking, 5
gozzi_silvana, 5
teacher, 5
saga, 5
assaul, 5
think, 5
dream, 4
you, 4
end, 4
guess, 4
great, 4
wesh, 4
netflixfr, 4
em, 4
yeeeesssss, 4
can, 4
they, 4
thanks, 4
se, 4
saturou, 4
pape, 4
thank, 4
game, 4
rn, 4
tv, 4
hope, 4
two, 4
seasons, 4
want, 4
barely, 4
ustedes, 4
strifemagazine, 4
gosto, 4
cant, 3
ciao, 3
hear, 3
us, 3
talking, 3
english, 3
sense8, 3
blinders, 3
s, 3
tokyo, 3
needs, 3
left, 3
pretty, 3
spain, 3
netflix, 3
thing, 3
world, 3
jure, 3
started, 3
dont, 3
dngerrous, 3
cool, 3
three, 3
wtf, 3
bring, 3
mais, 3
making, 3
perfect, 3
album, 3
announced, 3
trailer, 3
serious, 3
afraid, 3
alvaromorte, 3
saw, 3
yet, 3
sure, 3
bee, 3
ooo, 3
wan, 3
say, 3
lourd, 3
idk, 3
party, 3
fric, 3
damn, 3
thrones, 3
stupid, 3
police, 3
t, 3
meaningless, 3
enough, 3
turn, 3
um, 3
youtube, 3
morning, 3
waiting, 3
try, 3
con, 3
interesseira, 3
screaming, 3
next, 3
giunecologista, 3
jesusssss, 3
resenhadosalphas, 3
literal, 3
thermfam, 2
listening, 2
impossible, 2
imagining, 2
infron, 2
shows, 2
kidnapped, 2
deserves, 2
pour, 2
source, 2
everyone, 2
worth, 2
chap_gg, 2
black, 2
narcos, 2
peaky, 2
away, 2
wasting, 2
week, 2
row, 2
pizzahag, 2
nice, 2
sleeping, 2
las, 2
chicas, 2
cable, 2
isn, 2
girl, 2
movie, 2
finish, 2
tomorrow, 2
worried, 2
fee, 2
non-english, 2
weekend, 2
and, 2
heist/la, 2
hi, 2
language, 2
version, 2
remake, 2
last, 2
lookingbast, 2
man, 2
wouhouuuuuuuuuu, 2
tears, 2
srsly, 2
this, 2
renew, 2
announce, 2
place, 2
ct, 2
sur, 2
trop, 2
goooooooooooooood, 2
putain, 2
yeeeees, 2
absolutely, 2
un, 2
prank, 2
youpi, 2
dark, 2
happening, 2
ily, 2
worst, 2
dinguerieeeeeeeee, 2
yall, 2
aka, 2
inutile, 2
fav, 2
character, 2
en, 2
whaaaaaaat, 2
won, 2
p, 2
bless, 2
tho, 2
el, 2
wallah, 2
lt, 2
motherfuckers, 2
hands, 2
swear, 2
shot, 2
bc, 2
robbery, 2
morri, 2
ended, 2
even, 2
majdfarhoudd, 2
seee, 2
youu, 2
scenes, 2
oui, 2
happen, 2
lets, 2
s2, 2
yeahhhhh, 2
genial, 2
ah, 2
convention, 2
fan, 2
meet, 2
leiam, 2
essa, 2
thread, 2
yeaaaah, 2
the, 2
better, 2
dumb, 2
maydaymindy9, 2
tim, 2
point, 2
yeahhhh, 2
forced, 2
vai, 2
com, 2
officially, 2
posted, 2
wow, 2
paper, 2
obsessed, 2
episodes, 2
mlle_ubuntu, 2
da, 2
jaureguisrights, 2
ghraaab, 2
literally, 2
emabentaha8, 2
gracias, 2
xmancio_, 2
soazizgood, 2
may, 2
ayarhael, 2
sorry, 2
guys, 2
tired, 2
done, 2
haha, 2
friends, 2
b, 2
see, 2
finally, 2
carodlp11, 2
ho, 2
brazilians, 2
ahre, 2
must, 2
pact, 2
thisloveeisart, 2
de, 2
watchable, 2
lol, 2
brazil, 2
imagine, 2
tbh, 2
amazing, 2
someone, 2
bitch, 2
alpnavruz, 2
lacasadepapeltv, 2
renews, 2
nunca, 2
j.cole, 2
find, 2
mood, 2
los_07_, 2
office, 2
plot, 2
atm, 2
ts_earp, 2
rick, 2
morty, 2
today, 2
ahh, 2
mean, 2
ends, 2
cliffhanger, 2
survi, 2
favorite, 2
story, 2
culture, 2
szpaula_, 2
that, 2
dekibana, 2
osmaner49198365, 2
netflixturkiye, 2
top, 2
train, 2
saraalkida, 2
title, 2
louder, 2
wonka114, 1
talkin, 1
bout, 1
brilliantly, 1
written, 1
spain..str, 1
everyones, 1
attention, 1
s02e05, 1
dragon, 1
ball, 1
ruinmnds, 1
dreamed, 1
haven, 1
games, 1
vendetta, 1
max, 1
furry, 1
road, 1
truman, 1
anti-government, 1
movies, 1
tvtimesupport, 1
issue, 1
resolved, 1
bug., 1
heist\, 1
yoh, 1
goes, 1
mirror, 1
oa, 1
violet, 1
evergarden, 1
murder, 1
rohailxo, 1
netflixuk, 1
seen, 1
wins, 1
binged\, 1
holds, 1
record, 1
htt, 1
would, 1
stopped, 1
hey, 1
could, 1
portray, 1
wolf, 1
plan, 1
adaptat, 1
s02e06, 1
okay, 1
assignment, 1
prepare, 1
presentation, 1
upset, 1
heavily, 1
marketed, 1
chiucifer, 1
mutuals, 1
followed, 1
speaking, 1
tvbizz, 1
hello, 1
dearz, 1
