Data, Value
joeybirlem, 127
amp, 69
watch, 58
ready, 56
love, 56
days, 52
duffer, 50
first, 48
elwes, 47
cary, 45
night, 43
hours, 43
house, 43
┏┓, 42
┃┃╱╲, 42
┃╱╱╲╲, 42
╱╱╭╮╲╲, 42
▔▏┗┛▕▔, 42
╱▔▔▔▔▔▔▔▔▔▔╲, 42
╱╱┏┳┓╭╮┏┳┓, 42
╲╲, 42
▔▏┗┻┛┃┃┗┻┛▕, 42
stayed, 42
fell, 42
asleep, 42
sleep, 42
neve…, 42
cast, 39
zaynpride, 34
assiste, 34
busey, 33
jake, 32
ross, 27
matt, 25
tim, 25
ives, 25
sing, 24
know, 24
strangerthings, 21
cinemartistry, 21
directors, 21
shawn, 21
levy, 21
cinematographers, 21
tod, 21
campbell, 21
http…, 21
stan, 19
mike, 19
😂, 19
‘, 16
please, 16
youtube, 16
video, 16
—, 15
filming, 15
inspired, 15
whattheffacts, 15
rejected, 15
times, 15
different, 15
networks, 15
picked, 15
game, 14
still, 14
•, 14
xxnicole, 14
inteiro, 14
watching, 14
trying, 13
n't, 13
milliebbrown, 13
t…, 13
riverdale, 13
noahhcredito, 13
fandom, 13
quando, 13
sair, 13
open, 13
friends, 13
really, 12
new, 12
added, 12
watched, 12
ingridmusic, 12
record, 12
floss, 12
ialisyn, 12
hype, 12
af, 12
szn3, 12
rt/like, 12
active, 12
funny, 12
gc, 11
one, 11
na, 11
bevclub, 11
dms, 11
princess, 10
bride, 10
two, 10
wait, 10
happened, 10
upside, 10
liked, 10
anyone, 10
looks, 10
kid, 10
💘, 10
willing, 10
it/stranger, 10
must, 10
name…, 10
😍, 9
kinda, 9
glasses, 9
lmao, 9
reasons, 9
always, 9
walking, 9
dead, 9
kids, 9
lucas, 9
s2, 9
preparing, 9
brown, 9
fan, 9
going, 9
go, 9
upsidedownfacts, 8
get, 8
eleven, 8
live, 8
us, 8
joining, 8
notice, 8
make, 8
never, 8
bad, 8
rtyourlgbts, 8
byler, 8
adds, 8
hawkins_things, 8
strangerthings3, 8
s3, 8
thrones, 7
want, 7
time, 7
star, 7
starship, 7
trooper, 7
miss, 7
look, 7
casts, 7
need, 7
mayor, 7
joyner, 7
chris, 7
world, 7
best, 6
mutuals, 6
-stranger, 6
seen, 6
think, 6
place, 6
see, 6
famous, 6
check, 6
breaking, 6
show, 6
far, 6
come, 6
strangertbr, 6
gaten, 6
caleb, 6
sadie, 6
durante, 6
painel, 6
expo, 6
dallas, 6
…, 6
fc, 6
tv, 5
getting, 5
back, 5
quiet, 5
