Data, Value
bts_twt, 63
premiosmtvmiaw, 35
•, 34
youtube, 29
series, 29
bts, 28
hopes, 24
revival, 24
mtvbrkpopbts, 24
red, 23
karate, 23
kid, 23
becomes, 23
one, 21
mtvlakpopbts, 21
jungkook, 18
jimin, 16
high, 16
full, 14
song, 14
length, 13
okay, 13
performing, 13
end, 12
cypherpartflve, 12
discovered, 12
released, 12
fallingforjeon, 12
asked, 12
singing, 12
note, 12
long, 12
edition, 11
ever, 11
well, 11
outro, 11
get, 10
btslyricbot, 10
arsenalgent, 9
perchance, 9
white, 9
elephant, 9
lane, 9
naming, 9
suggestions, 9
spursofficial, 9
read, 9
nutellamemochi, 9
mesmerizing, 9
raplinet, 9
you…, 9
⚪️, 8
fics, 8
ralphmacchio, 8
life, 7
new, 7
mtvlafanarmybts, 7
bad, 7
yyuphoria, 7
amazing, 7
words, 7
explicit, 7
mother, 7
probably, 7
best, 7
thing, 7
cobrakaiseries, 7
little, 6
jillfritzo, 6
home, 5
time, 5
sugamins, 5
gang, 5
btsvotingteam, 5
everyone, 5
hot, 5
bias, 5
need, 5
tumbling, 5
n't, 5
really, 5
us, 5
watch, 5
pretty, 5
xxtaehyungbts_, 5
part, 5
see, 5
come, 5
watching, 4
show, 4
‘, 4
cards…, 4
guy, 4
away, 4
la, 4
del, 4
jikookheartt, 4
compilation, 4
whispering, 4
bc, 4
kink, 4
falling, 4
kevin, 4
spacey, 4
saying, 4
fic, 4
adweek, 4
love, 4
amp, 4
maijakoko, 4
drugs, 4
🔘, 4
drippin, 4
sweat, 4
vocals, 4
lipb…, 4
comes, 4
__ogswaaank, 4
bet, 4
liars, 4
htgawm, 4
riverdale, 4
jane, 4
virgin, 4
american, 4
ho…, 4
canon, 4
great, 4
namjoonrm9, 4
mtvlak…, 4
na, 3
lute, 3
beginning, 3
cracks, 3
zuba, 3
pending, 3
return, 3
sweating, 3
buckets, 3
tune, 3
fanfic, 3
video, 3
woman, 3
finally, 3
post, 3
collapse, 3
breaking, 3
wind, 3
good, 3
fav, 3
kshmr, 3
spring, 3
know, 3
bring, 3
drop, 3
umaymohamed, 3
ikr, 3
man, 3
ban, 3
stuff, 3
day, 3
armyseicaday, 3
grade, 3
never, 3
big, 3
crumble, 3
things, 3
minsugacheonye, 3
dead, 3
leaves, 3
deep, 3
state, 3
birds, 3
feather, 3
flock, 3
pharmy60091204, 3
mt…, 3
feam1411, 3
방탄소년단, 2
color, 2
way, 2
whoever, 2
secretary, 2
watched, 2
much, 2
job, 2
superior, 2
soooo, 2
ssbts, 2
zambezimagictv, 2
for…, 2
arash1892, 2
vota, 2
migliore, 2
serie, 2
televisiva, 2
thriller, 2
📺😱😨📺, 2
scegli, 2
tua, 2
preferita, 2
tra, 2
gli, 2
intrighi, 2
poter…, 2
forever, 2
ninanininaa, 2
gente, 2
normal, 2
yo, 2
toda, 2
army, 2
sajid, 2
javid, 2
built, 2
forjhobi, 2
damn, 2
j_g_fitzgerald, 2
centristdada, 2
donovantim, 2
photolawn, 2
lukepollard, 2
tory, 2
possible, 2
would, 2
badly, 2
shaken…, 2
burn, 2
even, 2
nu, 2
op, 2
oschartradio, 2
ft., 2
sidnie, 2
tipton, 2
made, 2
wan, 2
butterfly, 2
save, 2
infoidiomas, 2
homeland, 2
scandal, 2
coming, 2
potus, 2
left, 2
chaotic, 2
last, 2
thosfansbts30a, 2
kudanai, 2
nashville, 2
bancodeseries, 2
based, 2
shit, 2
democrat, 2
want, 2
jeongshookt_, 2
politics, 2
version, 2
pault1888, 2
so_1888, 2
bates, 2
declan, 2
john, 2
seem, 2
losses, 2
someone, 2
bbadtime, 2
muffled, 2
bg, 2
ilmxve, 2
claire, 2
stranger, 2
remember, 2
ruined, 2
exohoe34, 2
billboard, 2
coffee, 2
turn, 2
phone, 2
autumn, 2
move, 2
blanket, 2
kick, 2
reserved, 2
look, 2
dark, 2
building, 2
opinion, 2
sad, 2
think, 2
aishastaggers, 2
exactly, 2
starting, 2
🙄, 2
eyes, 2
premiosmtvmiaw…, 2
liberal, 2
met, 2
realchal_, 2
_blessed07_, 2
💥this👇, 2
confirmed, 2
qanon, 2
implode, 2
💥, 2
cabal, 2
destroying, 2
a…, 2
etc, 2
eicantona, 2
gam9111, 2
together, 2
re…, 2
better, 2
coded, 1
lyrics/h, 1
gon, 1
play, 1
jokes, 1
in…, 1
shaynehray, 1
next, 1
leaking, 1
maybe, 1
ms_strafalarius, 1
reactions, 1
thread, 1
👉may, 1
contain, 1
spoilers, 1
ktnkenya, 1
parliament, 1
disability, 1
friendly, 1
ktnmorningexpress, 1
aegyotaetae, 1
fancam, 1
relate, 1
yodajaxnme3, 1
realjameswoods, 1
jeanorlando5, 1
sleep, 1
quiet, 1
🤐, 1
careful, 1
poor, 1
stand, 1
chance, 1
real, 1
sorry, 1
mate, 1
reg, 1
cathey, 1
passes, 1
pacdigitalsigns, 1
imcherry, 1
等house, 1
thicknlong, 1
lmaoooooooo, 1
dey, 1
use, 1
vibes, 1
ah, 1
btsfashiondesgn, 1
omg, 1
talking, 1
formyships, 1
tho, 1
jk, 1
boss, 1
ray, 1
donovan, 1
true, 1
detective, 1
killing, 1
following, 1
black, 1
mirror, 1
criminal, 1
minds, 1
whca, 1
folded, 1
eminatjuuh, 1
always, 1
remain, 1
speakrphone, 1
protecting, 1
maintaining, 1
heterosexual, 1
bop, 1
exciting, 1
hunt, 1
boris, 1
johnson, 1
could, 1
make, 1
onelast, 1
push, 1
game, 1
thrones, 1
prison, 1
break, 1
narcos, 1
vikings, 1
lost, 1
altred, 1
carbon, 1
storm, 1
warning, 1
resounds, 1
shadow, 1
moon, 1
ark, 1
blows, 1
falls, 1
amwriting, 1
vss, 1
poem, 1
thanks, 1
hillary, 1
hope, 1
accused, 1
racism, 1
n-word, 1
set, 1
listen, 1
deal, 1
leave, 1
cypher, 1
ver, 1
natemaddencrtv, 1
reads, 1
script, 1
believe, 1
third, 1
kudoed, 1
disrespect, 1
oh, 1
god, 1
peaky, 1
blindres, 1
rick, 1
morty, 1
shameless, 1
fargo, 1
dexter, 1
rob, 1
grave, 1
snow, 1
cradle, 1
evidence, 1
soapbox, 1
glass, 1
go, 1
tossin, 1
stones, 1
jimin💋💕, 1
cards🃏, 1
least, 1
shows, 1
brazen, 1
blatant, 1
lies, 1
alves15manu, 1
escute, 1
cry, 1
strip, 1
lol, 1
duaity, 1
album, 1
indomymenfess, 1
century, 1
girls, 1
tomorow, 1
chyper, 1
pt, 1
sea, 1
bvblove1909, 1
😊, 1
kazimmumcu, 1
george, 1
peppard, 1
vintage, 1
movie, 1
poster, 1
movieposter, 1
