Data, Value
lemony, 9
snicket, 8
well, 7
show, 5
review, 5
entertaining, 5
acted, 5
andrearittschof, 5
watching, 4
events, 4
az_charlene, 4
much, 4
away, 4
two, 3
weird, 3
good, 3
wait, 3
tell, 3
loving, 3
actuallynph, 3
genius, 3
amazing, 3
baudelaire, 3
obsessed, 3
cause, 3
know, 3
watch, 3
snake, 3
slithered, 3
n't, 3
started, 3
ruined, 3
kenya, 3
first, 3
i, 3
it, 2
today, 2
briinadjh, 2
crazy, 2
af, 2
everything, 2
exactly, 2
pictured, 2
head, 2
kid, 2
lol, 2
man, 2
tv, 2
mr., 2
poe, 2
whole, 2
mizzmic, 2
also, 2
event, 2
finished, 2
part, 2
lemonysnicket, 2
misslefroy, 2
sunny, 2
fairygabbana, 2
girl, 2
cute, 2
wtf, 2
wasn, 2
pretty, 2
sucha, 2
attracted, 2
happy, 2
amp, 2
really, 2
owaahh, 2
computer, 2
th, 2
ali, 2
post, 2
one, 2
brain, 2
book, 2
came, 2
honeydovelies, 2
vfx, 2
breakdowns, 2
ritual, 2
elbnoot_, 1
duh, 1
seasons, 1
think, 1
right, 1
alle, 1
rubanzo11, 1
s02e04, 1
life, 1
beers, 1
binge, 1
watched, 1
night, 1
knew, 1
discover, 1
jay52_tx, 1
inboundmarketing, 1
buns, 1
marketing, 1
missmccleary, 1
sooo, 1
goo, 1
nathanzed, 1
idk, 1
take, 1
nother, 1
berniceking, 1
shaunking, 1
emma4change, 1
davidhogg111, 1
thekingcenter, 1
handled, 1
situation, 1
p, 1
omg, 1
yall, 1
realised, 1
young, 1
kara, 1
violet, 1
s02e05, 1
catalogue, 1
examples, 1
fighting, 1
overcoming, 1
injustices, 1
peace, 1
wildtcole, 1
snickets, 1
god, 1
yesterday, 1
last, 1
bitin, 1
can, 1
fortune, 1
teller, 1
librarian, 1
smoke, 1
mirrors.\, 1
ssn, 1
she, 1
playing, 1
esm, 1
squalor, 1
s02e06, 1
nw, 1
jblaireee, 1
jamesasmus, 1
underappreciated, 1
s02e07, 1
kingtaengg, 1
neptoon, 1
au, 1
lil, 1
cheez, 1
corn, 1
hunter, 1
barrel, 1
eastland, 1
children, 1
black, 1
lot, 1
people, 1
would, 1
see, 1
count, 1
olaf, 1
as, 1
marquei, 1
como, 1
visto, 1
carnivorous, 1
carnival, 1
bancodeseries, 1
makes, 1
heart, 1
kung, 1
dili, 1
mo, 1
gusto, 1
madisappoint, 1
please, 1
hahahaha, 1
thank, 1
later, 1
itssouequotes, 1
person, 1
yo, 1
look, 1
wreck, 1
evening, 1
li, 1
gingynorth, 1
events\, 1
s02e08, 1
movie, 1
wow, 1
miss, 1
uncle, 1
monty, 1
annieaxhood, 1
times, 1
world, 1
may, 1
seem, 1
unfriendly, 1
sinister, 1
place, 1
believe, 1
bad, 1
al, 1
soooooo, 1
sad, 1
going, 1
back, 1
sleep, 1
fortunate, 1
days, 1
natapos, 1
ko, 1
yung, 1
shannonpurser, 1
events.., 1
tried, 1
keys, 1
house, 1
london, 1
glasgow, 1
went, 1
bulgaria, 1
they, 1
accidentally, 1
liked, 1
ex, 1
insta, 1
posts, 1
april, 1
janellelapointe, 1
done, 1
get, 1
best, 1
boo, 1
s02e09, 1
jasminejade2x, 1
benmurraybruce, 1
s02e02, 1
velsmells, 1
small, 1
incompetent, 1
captures, 1
brutal, 1
reality, 1
adults, 1
have, 1
gracestrodtbeck, 1
glad, 1
forgot, 1
already, 1
avoid, 1
something, 1
ghastly, 1
that1999kid, 1
shows, 1
worth, 1
day, 1
time, 1
block, 1
academy, 1
reached, 1
point, 1
drop, 1
nowhere, 1
prepared, 1
trey_bookhammer, 1
reference, 1
flyers, 1
enduring, 1
actually, 1
s02e10, 1
unfortunate, 1
new, 1
more\, 1
